"","variable","value"
"167","PA003Q08NA",0.0631134617731025
"168","ST095Q13NA",0.06297286302665
"169","PA011Q02NA",0.0619509474022403
"170","EC023Q10NA",0.0614946795268962
"171","IC014Q06NA",0.0610418752253817
"172","EC022Q09NA",0.060748719286398
"173","ST107Q01NA",0.0606503529574263
"174","EC030Q01NA",0.0600861116469722
"175","PA011Q03NA",0.0592219995450176
"176","IC011Q02TA",0.0588183517805947
"177","COMMASTRLE",0.0582624353231986
"178","ADINST",0.0579154934982803
"179","PA011Q01NA",0.0566266483189624
"180","COMSCSTRLE",0.0565929329796721
"181","DISCLISCI",0.05632453967876
"182","ST076Q10NA",0.0562405792181471
"183","ST119Q01NA",0.056213866689171
"184","IC014Q08NA",0.0562024695674963
"185","EC017Q01NA",0.0548423194877265
"186","TDTEACH",0.0547746936781102
"187","ST078Q11NA",0.0546784466491554
"188","EC015Q07NA",0.0546315883175609
"189","EC018Q02NA",0.0532306770396398
"190","ST078Q10NA",0.0524687271455987
"191","ST097Q05TA",0.052394543933518
"192","ST097Q03TA",0.0523458685529125
"193","EC030Q03NA",0.0522159805719617
"194","PA021Q03NA",0.0520805984552537
"195","IC008Q01TA",0.0513246020657486
"196","IC010Q09NA",0.0512130436585061
"197","ST078Q09NA",0.0509490614399575
"198","TEACHSUP",0.050391990241298
"199","SENWT",0.0503665525566954
"200","EC012Q09NA",0.0498370253137182
"201","HEDRES",0.049789681364981
"202","EC020Q10NA",0.048955580585608
"203","ST076Q06NA",0.0485668166697265
"204","EC014Q01NA",0.0484303205191624
"205","ST107Q02NA",0.048309522749398
"206","ST097Q01TA",0.0477685503040443
"207","ST059Q02TA",0.0477397160186778
"208","EC020Q04NA",0.0477318576883415
"209","ST092Q08NA",0.0471188490396894
"210","ST131Q01NA",0.0465319563607114
"211","COMPICT",0.0461493755838563
"212","ST095Q04NA",0.0460767559167329
"213","EC010Q10NA",0.0449157609496258
"214","CURSUPP",0.0448882788841253
"215","IC014Q03NA",0.0445438109726422
"216","EMOSUPP",0.0444991817116432
"217","EC010Q06NA",0.043943953106785
"218","PA008Q02TA",0.0436752293316468
"219","ST097Q04TA",0.0435830231146758
"220","ST103Q08NA",0.0433838469007584
"221","IC016Q04NA",0.0430360831572862
"222","ST034Q02TA",0.0423815362654581
"223","EC030Q04NA",0.042320784338938
"224","EC023Q08NA",0.0419275304480337
