"LOCATION","INDICATOR","SUBJECT","MEASURE","FREQUENCY","TIME","Value","Flag Codes"
"GBR","EDUEXP","TRY","USD_STUDENT","A","2016",,"M"
"CHN","EDUEXP","TRY","USD_STUDENT","A","2014",,"M"
"CHN","EDUEXP","TRY","USD_STUDENT","A","2015",,"M"
"CHN","EDUEXP","TRY","USD_STUDENT","A","2016",,"M"
"ITA","EDUEXP","TRY","USD_STUDENT","A","2014",11438.883,
"ITA","EDUEXP","TRY","USD_STUDENT","A","2015",11257.074,
"ITA","EDUEXP","TRY","USD_STUDENT","A","2016",,"M"
"LUX","EDUEXP","TRY","USD_STUDENT","A","2014",45800.558,
"LUX","EDUEXP","TRY","USD_STUDENT","A","2015",48906.889,
"LUX","EDUEXP","TRY","USD_STUDENT","A","2016",,"M"
"NZL","EDUEXP","TRY","USD_STUDENT","A","2014",15108.997,
"NZL","EDUEXP","TRY","USD_STUDENT","A","2015",15165.733,
"NZL","EDUEXP","TRY","USD_STUDENT","A","2016",,"M"
"EST","EDUEXP","TRY","USD_STUDENT","A","2014",11964.513,
"EST","EDUEXP","TRY","USD_STUDENT","A","2015",12867.499,
"EST","EDUEXP","TRY","USD_STUDENT","A","2016",,"M"
"IDN","EDUEXP","TRY","USD_STUDENT","A","2014",,"M"
"IDN","EDUEXP","TRY","USD_STUDENT","A","2015",3764.7,
"IDN","EDUEXP","TRY","USD_STUDENT","A","2016",,"M"
"SVN","EDUEXP","TRY","USD_STUDENT","A","2014",10036.782,
"SVN","EDUEXP","TRY","USD_STUDENT","A","2015",10208.067,
"SVN","EDUEXP","TRY","USD_STUDENT","A","2016",,"M"
"ZAF","EDUEXP","TRY","USD_STUDENT","A","2014",,"M"
"ZAF","EDUEXP","TRY","USD_STUDENT","A","2015",,"M"
"ZAF","EDUEXP","TRY","USD_STUDENT","A","2016",,"M"
"GRC","EDUEXP","TRY","USD_STUDENT","A","2014",3880.677,
"GRC","EDUEXP","TRY","USD_STUDENT","A","2015",4094.526,
